RunNumber,Livetime
5007,7232.24
5015,6236.03
5017,21586.7
5018,4745.0
5031,21593.2
5034,21592.9
5035,21591.7
5038,21582.8
5039,14407.2
5053,21571.4
5057,2161.73
5062,21593.0
5063,21590.4
5064,21579.1
5066,10384.8
5067,21593.3
5068,21589.4
5069,19616.0
5071,18148.7
5074,17709.8
5075,9369.52
5092,16262.4
5093,23083.4
5095,7477.13
5098,7804.73
5106,12239.1
5107,30020.8
5116,1817.24
5141,49957.5
5143,21589.1
5144,21593.7
5145,21590.1
5146,8282.77
5149,966.917
5151,8913.38
5152,1235.5
5186,21592.4
5187,21589.8
5189,21592.9
5190,21592.1
5191,7426.99
5195,21585.4
5199,21585.6
5200,17290.2
5202,21589.0
5203,21592.6
5204,21592.6
5205,12455.3
5208,5444.4
5211,3829.93
5212,2736.67
5213,3170.64
5215,15558.6
5216,14640.5
5218,6811.72
5221,3561.89
5222,3609.96
5223,21593.6
5224,922.128
5225,17223.5
5226,9395.22
5227,30990.7
5228,12993.4
5229,10484.2
5230,53825.4
5231,12778.8
5233,8028.66
5234,49998.9
5240,23581.6
5241,50593.4
5242,34362.7
5243,11588.8
5246,42539.6
5247,21654.1
5249,15065.2
5250,43228.3
5251,36120.7
5252,48845.7
5253,21584.1
5254,16022.1
5255,48356.8
5256,20777.8
5258,12719.8
5260,44884.8
5263,16989.6
5264,14489.8
5267,35986.9
5269,7602.46
5274,10533.3
5283,19626.4
5284,20923.8
5285,14635.3
5286,3781.98
5288,15299.7
5289,13103.5
5290,41519.6
5292,25941.9
5293,52679.9
5294,29093.2
5298,49468.6
5301,18057.3
5302,7194.06
5304,5911.16
5306,37777.2
5308,7195.04
5309,2119.11
5314,7192.54
5315,4651.53
5316,8555.37
5317,20549.3
5320,26106.0
5323,7188.93
5324,7193.84
5325,4054.71
5326,11535.6
5329,25463.4
5331,5130.38
5332,15118.7
5333,7069.75
5334,30267.3
5335,9433.86
5339,14428.3
5341,21024.5
5343,16546.1
5344,7615.58
5346,14427.1
5347,5904.4
5350,15473.9
5351,4214.66
5352,30628.2
5355,8673.52
5356,23337.5
5357,13402.2
5358,5407.38
5359,31958.8
5361,4503.69
5363,3740.03
5366,2321.65
5368,1550.32
5369,8719.0
5370,48717.7
5372,4048.73
5373,10052.3
5374,19493.4
5400,2540.46
5401,8452.02
5404,2747.74
5406,5756.08
5410,37964.1
5411,9997.42
5412,3246.55
5413,5733.07
5417,4806.52
5420,9223.22
5421,3903.27
5429,12656.7
5430,4425.87
5431,7019.95
5432,3851.94
5449,13636.8
5470,13024.5
5473,53035.4
5475,3669.18
5476,5015.56
5477,10633.5
5485,52272.5
5486,27916.7
5487,11023.0
5488,47027.2
5490,33980.6
5491,15528.0
5492,34379.6
5493,21495.9
5494,39571.1
5497,14537.5
5498,13323.8
5500,40228.5
5503,11366.5
5504,18596.7
5507,48146.4
5508,15956.3
5509,28387.5
5510,40457.7
5511,21364.1
5513,16409.1
5516,21132.6
5517,12733.2
5518,11899.5
5519,32475.2
5521,21059.1
5522,16837.4
5523,49414.8
5526,9155.99
5527,11726.5
5530,8274.88
5531,49352.0
5536,25884.0
5537,56959.4
5540,35610.7
5541,37397.8
5543,9045.96
5544,25932.8
5545,42953.6
5546,14136.3
5547,7415.51
5548,7004.21
5550,37076.6
5551,8291.39
5552,29933.4
5553,6902.22
5556,9959.75
5557,2669.34
5558,5406.83
5559,4365.24
5560,36204.1
5562,18038.2
5564,13810.9
5566,13414.1
5571,3554.56
5573,10103.6
5574,7833.2
5575,38650.0
5576,9091.91
5577,29389.1
5578,39443.1
5580,15406.5
5581,27223.6
5585,19350.4
5587,4737.39
5588,20094.0
5589,23730.5
5590,6687.55
5591,11245.5
5592,51804.7
5593,29711.8
5594,11427.8
5598,3785.42
5600,7307.12
5601,14657.3
5602,31228.8
5604,7156.28
5606,16445.5
5609,13317.2
5614,21074.1
5615,4453.76
5616,3770.24
5617,1328.85
5619,27077.7
5622,19074.9
5630,32925.9
5634,3182.85
5646,22084.5
5647,27783.3
5648,26208.7
5649,19215.9
5650,35763.8
5652,11805.8
5653,11150.4
5657,18160.7
5658,27716.4
5659,19496.2
5660,14604.6
5661,47738.1
5664,12248.0
5665,18978.4
5666,4116.07
5667,3231.36
5669,52755.5
5671,15926.1
5672,12438.5
5673,20297.8
5674,33949.1
5675,5611.27
5676,20255.0
5677,22607.0
5678,26424.1
5679,17402.2
5688,43358.5
5689,10296.7
5691,5819.46
5694,8602.84
5695,32841.0
5699,11118.3
5702,8807.13
5707,3910.53
5708,9829.21
5709,9984.64
5711,37702.7
5712,16710.4
5714,22276.7
5715,37247.1
5716,20768.9
5717,9622.17
5725,9476.43
5734,19433.4
5736,4329.23
5740,30764.4
5741,16739.4
5743,17467.4
5745,12211.2
5746,36009.6
5748,3248.55
5750,8763.62
5751,7658.26
5752,17900.4
5753,32224.5
5755,13329.1
5756,10556.3
5758,20511.0
5763,22669.9
5765,17141.0
5766,34426.7
5767,20627.6
5769,16938.5
5774,3067.23
5777,23691.5
5778,18084.2
5779,2307.58
5780,5764.85
5783,3593.96
5784,20460.1
5785,2997.11
5786,21573.8
5791,11007.9
5792,11981.3
5793,36068.1
5796,22497.7
5797,20805.1
5798,5756.09
5799,4553.6
5800,21259.5
5801,16156.0
5802,22203.4
5805,7721.78
5808,18315.9
5810,7979.79
5811,47947.4
5814,5033.09
5815,4313.14
5816,16180.7
5820,2412.55
5821,5385.58
5822,21592.7
5825,21593.8
5826,21588.7
5827,19123.3
5828,21583.7
5830,21592.5
5835,14848.5
5837,36851.4
5839,3671.17
5841,21587.0
5842,15336.9
5843,40154.6
5845,8605.48
5847,9298.95
5848,19128.6
5849,16882.9
5850,21807.6
5851,27114.6
5852,37162.5
5854,18633.1
5856,13236.2
5857,17004.5
5859,9052.21
5860,12347.2
5864,8001.59
5876,11617.6
5877,14324.1
5878,34696.5
5884,25248.0
5886,27081.0
5888,3041.3
5908,8465.7
5910,35573.7
5911,23644.0
5912,11244.3
5913,13056.4
5914,33015.6
5916,3286.66
5918,15115.1
5927,17840.9
5928,31359.9
5931,3777.27
5935,8547.02
5938,27347.2
5940,35905.6
5944,20564.8
5945,19176.9
5946,38063.7
5948,24087.7
5949,23450.0
5950,37233.9
5951,24033.4
5952,16386.7
5959,20259.0
5960,39806.6
5962,23560.7
5964,19110.4
5965,8345.89
5966,29772.3
5967,17139.9
5968,34577.4
5971,2887.18
5972,5494.75
5973,18507.6
5974,19855.1
5975,41795.5
5978,16655.5
5979,21762.3
5980,36391.5
5983,5773.26
5985,15246.5
5987,26238.7
5988,12982.7
5990,18722.1
5992,19536.2
5993,35915.2
5998,47382.3
6001,23544.6
6006,49420.8
6007,11265.1
6008,15172.5
6009,18452.3
6010,37631.3
6011,6104.53
6015,12131.0
6016,22839.3
6017,39641.5
6019,3531.72
6020,41872.5
6021,40617.6
6023,8426.47
6025,25728.0
6026,42837.4
6027,17281.9
6029,25755.5
6030,22974.0
6031,3044.39
6034,3691.48
6036,24140.6
6037,27801.7
6040,36679.8
6046,15704.5
6049,21505.6
6050,12014.5
6051,2452.63
6052,19487.8
6053,3489.11
6055,3764.94
6058,5287.89
6059,33582.5
6060,19683.9
6061,20724.6
6062,24526.9
6063,6513.62
6067,14146.1
6072,18256.5
6073,1614.11
6074,2745.44
6076,17377.5
6078,15975.9
6079,5117.33
6080,30640.1
6081,3288.52
6083,13607.6
6085,3194.25
6086,2665.64
6088,14317.8
6089,17761.5
